ID_Categoria,Descripcion
A01005,ADMINISTRATIVO ESPECIALIZADO
A01061,MAESTRO DE JARDIN DE NIÑOS ESTATAL SUBSIDIADO
A01803,ADMINISTRATIVO ESPECIALIZADO
A01805,AUXILIAR DE ADMINISTRADOR
A01806,ANALISTA ADMINISTRATIVO
A01807,JEFE DE OFICINA
A01820,AYUDANTE ADMINISTRATIVO
A01E05,AUX. ADMINISTRADOR
A02021,DIRECTOR DE PRIMARIA ESTATAL SUBSIDIADO
A02061,MAESTRO DE GRUPO DE PRIMARIA ESTATAL SUBSIDIADO
A02802,AGENTE DE INFORMACION
A02804,PROMOTOR
A03023,DIRECTOR DE TELESECUNDARIA ESTATAL SUBSIDIADO
A03114,HORAS DE MAESTRO DE TELESECUNDARIA ESTATAL SUBSIDIADO
A03803,SECRETARIA DE APOYO
A03804,SECRETARIA !C!
A08006,SECRETARIA EJECUTIVA
A08025,SECRETARIA
A0IE05,AUXILIAR ADMINISTRATIVO AYUDANTE ADMINISTRATIVO
B03083,ADMINISTRATIVO ESPECIALIZADO ESTATAL SUBSIDIADO
B03084,ADMINISTRATIVO ESPECIALIZADO ESTATAL SUBSIDIADO
C01806,EDITOR
C01808,ASISTENTE EN TECNICAS DE LA COMUNICACION
C02802,OPERADOR DE EQUIPO DE COMUNICACIONES
C03091,OFICIAL DE SERVICIOS Y MANTENIMIENTO ESTATAL SUBSIDIADO
CF01005,DIRECTOR DE AREA
CF01012,SUBDIRECTOR DE AREA
CF01059,JEFE DE DEPARTAMENTO
CF03803,CHOFER DE DIRECTOR DE AREA
CF03809,CHOFER DE SPS
CF04805,SECRETARIA EJECUTIVA !D!
CF04806,SECRETARIA EJECUTIVA !C!
CF04807,SECRETARIA EJECUTIVA !B!
CF04808,SECRETARIA EJECUTIVA !A!
CF05003,BIBLIOTECARIO
CF06801,GUARDA
CF07805,MANEJADOR DE FONDOS Y VALORES
CF07810,AUXILIAR DE MANEJADOR DE VALORES
CF07817,RESPONSABLE DE FONDOS Y VALORES
CF08025,SECRETARIA
CF08822,SUPERVISOR
CF10804,CAPITAN DE BARCO
CF11806,INSPECTOR
CF12803,COORDINADOR DE TECNICOS EN COMPUTACIÓN
CF12804,ANALISTA PROGRAMADOR !B!
CF12812,PROGRAMADOR ESPECIALIZADO
CF12814,ESPECIALISTA EN TELEINFORMATICA
CF12825,ANALISTA DE SISTEMAS MACROCOMPUTACIONALES
CF14012,GUARDIAN
CF17805,COLUMNISTA
CF21802,ABOGADO
CF21803,AUDITOR
CF21807,ANALISTA PROFESIONAL
CF21817,AUDITOR ESPECIALIZADO
CF21856,PROFESIONAL DICTAMINADOR EN EL MANEJO DE FONDOS Y VALORES
CF21858,PROFESIONAL DICTAMINADOR ESPECIALIZADO EN EL MANEJO DE FONDO
CF21859,COORDINADOR DE PROFESIONALES DICTAMINADORES
CF21887,ASISTENTE EN ESTUDIOS PROFESIONALES
CF22811,INVESTIGADOR ESPECIALIZADO
CF33821,ESPECIALISTA TECNICO
CF33828,PRODUCTOR RADIOFONICO BILINGUE
CF33834,TECNICO ESPECIALIZADO
CF33865,JEFE DE UNIDAD RADIOFONICA BILINGUE
CF33890,COORDINADOR DE PROYECTOS Y SERVICIOS CULTURALES
CF33891,OFICIAL TECNICO
CF33892,TECNICO SUPERIOR
CF34018,COORDINADOR DEPARTAMENTAL
CF34117,JEFE DE UNIDAD SEAD
CF34806,SUPERVISOR ADMINISTRATIVO
CF34807,AUXILIAR DE ADMINISTRADOR
CF34810,ANALISTA ADMINISTRATIVO
CF34813,JEFE DE OFICINA
CF34844,ASISTENTE DE ALMACEN
CF52118,DIRECTOR GENERAL
CF52317,DIRECTOR DE AREA
CF53083,SECRETARIO PARTICULAR DE SPS-33
E0100,"INSPECTORA DE JARDINES DE NINOS, EN EL D.F."
E0101,"INSPECTORA DE JARDINES DE NINOS, FOR.EA."
E0102,INSPECTOR DE ENSEÑANZAS MUSICALES PARA JARDIN DE INOS EN EL
E0103,INSPECTORA DE JARDIN DE NIÑOS TITULADA EN LA LICENCIATURA DE
E0104,"INSPECTOR GENERAL DE SECTOR DE JARDIN DE NIÑOS,EN EL D.F."
E0105,"INSPECTOR GENERAL DE SECTOR DE JARDIN DE NIÑOS,FORANEO."
E0107,INSPECTORA GENERAL DE SECTOR DE JARDIN DE NIÑOS TITULADA EN
E0113,INSPECTORA PARA CENTROS DE DESARROLLO INFANTIL.
E0119,DIRECTORA DE JARDIN DE NIÑOS DE TIEMPO COMPLETO TITULADA EN
E0120,DIRECTORA DE JARDIN DE NIÑOS EN EL DISTRITO FEDERAL.
E0121,"DIRECTORA DE JARDIN DE NIÑOS, FOR.EA."
E0125,DIRECTORA PARA CENTROS DE DESARROLLO INFANTIL.
E0164,PROFESOR DE ENSEÑANZAS MUSICALES ELEMENTALES PARA JARDIN DE
E0165,PROFESOR DE ENSEÑANZAS MUSICALES ELEMENTALES PARA JARDIN DE
E0180,MAESTRA DE JARDIN DE NIÑOS EN EL DISTRITO FEDERAL.
E0181,"MAESTRA DE JARDIN DE NIÑOS, FOR.EA."
E0182,"HORAS DE ACOMPANANTE DE MUSICA PARA JARDIN DE NIÑOS, EN EL D"
E0183,"HORAS DE ACOMPANANTE DE MUSICA PARA JARDIN DE NIÑOS, FORANEO"
E0185,MAESTRA DE JARDIN DE NIÑOS DE TIEMPO COMPLETO MIXTO TITULADA
E0190,EDUCADORA PARA CENTRO DE DESARROLLO INFANTIL DE TIEMPO COMPL
E0191,"PROMOTOR DE COMUNIDAD RURAL,TECNICO EN EDUCACION PREESCOLAR,"
E0195,EDUCADORA PARA CENTROS DE DESARROLLO INFANTIL.
E0199,MTRA DE JARDIN DE NIÑOS DE 3/4 DE TIEMPO EN CURSO CON FORTAL
E0200,"INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA, EN EL D.F."
E0201,"INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA, FORANEO."
E0202,"INSPECTOR DE PRIMARIA NOCTURNA, EN EL DISTRITO FEDERAL."
E0203,INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA TITULADO EN LA LICE
E0204,"INSPECTOR GENERAL DE SECTOR PRIMARIA, EN EL D.F."
E0205,"JEFE DE SECTOR DE EDUCACION PRIMARIA, FOR.EO."
E0206,"INSPECTOR GENERAL DE SECTOR DE ENSEÑANZA PRIMARIA NOCTURNA,"
E0207,INSPECTOR GENERAL DE SECTOR DE PRIMARIA TITULADO EN LA LICEN
E0208,"INSPECTOR DE ESCUELA DE ENSEÑANZAS ESPECIALES ASISTENCIALES,"
E0209,JEFE DE SECTOR DE EDUCACION PRIMARIA TITULADO EN LA LICENCIA
E0210,"INSPECTOR DE ZONA DE ENSEÑANZA PRIMARIA, EN EL DISTRITO FEDE"
E0213,"INSPECTOR DE INTERNADOS DE ENSEÑANZA PRIMARIA, FORANEO."
E0214,"INSPECTOR DE ENSEÑANZAS ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0216,"CONSEJERO DE EDUCACION PRIMARIA, EN EL DISTRITO FEDERAL."
E0218,CONSEJERO DE EDUCACION RURAL.
E0219,DIRECTOR DE PRIMARIA DE TIEMPO COMPLETO TITULADO EN LA LICEN
E0220,DIRECTOR DE PRIMARIA EN EL DISTRITO FEDERAL.
E0221,"DIRECTOR DE PRIMARIA, FOR.EO."
E0222,"DIRECTOR DE INTERNADO DE PRIMARIA, EN EL DISTRITO FEDERAL."
E0223,"DIRECTOR DE INTERNADO DE PRIMARIA, FOR.EO."
E0224,"DIRECTOR DE PRIMARIA, ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0226,"DIRECTOR DE PRIMARIA NOCTURNA, EN EL DISTRITO FEDERAL."
E0240,"SUBDIRECTOR SECRETARIO DE INTERNADO DE PRIMARIA, EN EL DISTR"
E0241,"SUBDIRECTOR SECRETARIO DE INTERNADO DE PRIMARIA, FORANEO."
E0250,"JEFE DE ENSEÑANZAS, ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0258,"JEFE DE ENSEÑANZA ASISTENCIAL, EN EL DISTRITO FEDERAL."
E0260,"MAESTRO DE ADIESTRAMIENTO DE PRIMARIA, EN EL DISTRITO FEDERA"
E0261,MAESTRO DE ADIESTRAMIENTO DE PRIMARIAS FOR.EO
E0264,"MAESTRO DE ENSEÑANZAS ARTISTICAS DE INTERNADO DE PRIMARIA, E"
E0265,"MAESTRO DE ENSEÑANZAS ARTISTICAS DE INTERNADO DE PRIMARIA, F"
E0280,"MAESTRO DE GRUPO DE PRIMARIA, EN EL DISTRITO FEDERAL."
E0281,"MAESTRO DE GRUPO DE PRIMARIA, FOR.EO."
E0284,"MAESTRO DE GRUPO DE PRIMARIA, EN EL DISTRITO FEDERAL, ASISTENTE"
E0285,MAESTRO DE GRUPO DE PRIMARIA DE TIEMPO COMPLETO MIXTO TITULAR
E0286,"MAESTRO DE GRUPO DE PRIMARIA NOCTURNA, EN EL DISTRITO FEDERAL"
E0288,MAESTRO DE ADIESTRAMIENTO E INICIACION VOCACIONAL DE PRIMARIA
E0289,MAESTRO 'A' DE PRIMARIA RURAL.
E0291,MAESTRO 'B' DE PRIMARIA RURAL.
E0292,MAESTRO DE GRUPO DE PRIMARIA ASISTENCIAL DE 3/4 DE TIEMPO EN
E0296,"MAESTRO DE GRUPO DE PRIMARIA, ASISTENCIAL, EN EL DISTRITO FE"
E0298,MAESTRO DE GRUPO DE PRIMARIA NOCTURNA CON FORTALECIMIENTO C
E0299,MAESTRO DE GRUPO DE PRIMARIA DE 3/4 DE TIEMPO EN CURSO CON F
E0300,"INSPECTOR GENERAL DE SEGUNDA ENSEÑANZA, EN EL D.F."
E0301,"INSPECTOR GENERAL DE SEGUNDA ENSEÑANZA, FOR.EO."
E0308,"INSPECTOR GENERAL DE ESCUELA SECUNDARIA, PARA TRABAJADORES E"
E0320,DIRECTOR DE SECUNDARIA DIURNA EN EL D.F.
E0321,DIRECTOR DE SECUNDARIA FORANEA.
E0325,"DIRECTOR DE INTERNADO DE SECUNDARIA, FORNEA."
E0326,"DIRECTOR DE SECUNDARIA PARA TRABAJADORES, EN EL D.F."
E0327,"DIRECTOR DE SECUNDARIA, PARA TRABAJADORES, FORANEO."
E0340,SUBDIRECTOR SECRETARIO DE SECUNDARIA DIURNA EN EL D.F.
E0341,SUBDIRECTOR SECRETARIO DE SECUNDARIA FOR.EA.
E0344,"SUBDIRECTOR SECRETARIO DE SECUNDARIA NOCTURNA, EN EL DISTRIT"
E0345,"SUBDIRECTOR SECRETARIO DE SECUNDARIA NOCTURNA, FORANEA."
E0350,JEFE DE ENSEÑANZA SECUNDARIA DIURNA.
E0351,"JEFE DE ENSEÑANZA SECUNDARIA, FORANEO."
E0358,"JEFE DE ENSEÑANZA DE SECUNDARIA, PARA TRABAJADORES."
E0360,PROFESOR DE ENSEÑANZAS DE ADIESTRAMIENTO DE SECUNDARIA
E0361,"PROFESOR DE ENSEÑANZAS DE ADIESTRAMIENTO DE SECUNDARIA, FORANEO"
E0362,PROFESOR DE ENSEÑANZA SECUNDARIA EN EL DISTRITO FEDERAL.
E0363,"PROFESOR DE ENSEÑANZA SECUNDARIA, FORANEA."
E0364,"PROFESOR DE ADIESTRAMIENTO, DE SECUNDARIA, EN EL DISTRITO FE"
E0365,"PROFESOR DE ADIESTRAMIENTO, DE SECUNDARIA, FORANEO."
E0366,HORAS DE ENSEÑANZA DE ADIESTRAMIENTO DE SECUNDARIAS GENERALES
E0370,"PROFESOR ORIENTADOR DE ENSEÑANZA SECUNDARIA, EN EL DISTRITO"
E0371,"PROFESOR ORIENTADOR DE ENSEÑANZA SECUNDARIA, FORANEA."
E0390,HORAS DE ENSEÑANZA DE ADIESTRAMIENTO DE SECUNDARIAS GENERALE
E0392,HORAS DE ENSEÑANZA SECUNDARIA PARA FORTALECIMIENTO CURRICULA
E0401,INSPECTOR GENERAL DE SECUNDARIAS TECNICAS.
E0409,"INSPECTOR GENERAL DE ESCUELA SECUNDARIA TECNICA,PARA TRABAJA"
E0420,DIRECTOR DE ESCUELA SECUNDARIA TECNICA EN EL DISTRITO FEDERA
E0421,"DIRECTOR DE ESCUELA SECUNDARIA TECNICA, FORANEO"
E0440,SUBDIRECTOR SECRETARIO DE ESCUELA SECUNDARIA TECNICA
E0441,"SUBDIRECTOR SECRETARIO DE ESCUELA SECUNDARIA TECNICA, FORANEA"
E0450,"JEFE DE ENSEÑANZA SECUNDARIA TECNICA,EN EL D.F."
E0451,"JEFE DE ENSEÑANZA SECUNDARIA TECNICA, FORANEO"
E0460,PROFESOR DE ADIESTRAMIENTO DE SECUNDARIA TECNICA EN EL DISTR
E0461,PROFESOR DE ADIESTRAMIENTO DE SECUNDARIA TECNICA FORANEA.
E0462,PROFESOR DE ENSEÑANZA SECUNDARIA TECNICA EN EL DISTRITO FEDE
E0463,"PROFESOR DE ENSEÑANZA SECUNDARIA TECNICA, FORANEO."
E0464,PROFESOR DE ADIESTRAMIENTO DE SECUNDARIA TECNICA.EN EL DIST
E0465,"PROFESOR DE ADIESTRAMIENTO DE SECUNDARIA TECNICA, FORANEO."
E0466,HORAS DE ENSEÑANZA DE ADIESTRAMIENTO DE SECUNDARIAS TECNICAS
E0490,HORAS DE ADIESTRAMIENTO DE SECUNDARIAS TECNICAS PARA FORTALECIMIENTO
E0492,HORAS DE ENSEÑANZA DE SECUNDARIA TECNICA PARA FORTALECIMIENTO
E0524,SUPERVISOR INGENIERO AGRONOMO.
E0541,SUBDIRECTOR SECRETARIO DE CENTRO DE ENSEÑANZA AGROPECUARIA F
E0550,"JEFE DE ENSEÑANZA PRACTICOAGRICOLA, MAESTRO NORMALISTA URBAN"
E0553,"JEFE DE ENSEÑANZA PRACTICOAGRICOLA,AGRONOMO TITULADO, FORANEO"
E0555,"JEFE DE ENSEÑANZA PRACTICOPECUARIA, MEDICO VETERINARIO TITUL"
E0563,PROFESOR DE ENSEÑANZA VOCACIONAL AGRICOLA FOR.EO
E0570,"PROFESOR ORIENTADOR DE ENSEÑANZA TECNICA, EN EL DISTRITO FED"
E0571,"PROFESOR ORIENTADOR DE ENSEÑANZA TECNICA, FORANEO"
E0581,MAESTRO DE PLANTA DE CENTROS DE ENSEÑANZA AGROPECUARIA FUNDA
E0620,PRESIDENTE DEL CONSEJO NACIONAL TECNICO DE LA EDUCACION
E0621,DIRECTOR PARA ESCUELA DE EDUCACION ESPECIAL DE TIEMPO COMPLE
E0622,DIRECTOR DE ESCUELA DE BIBLIOTECARIOS EN EL DISTRITO FEDERAL
E0627,"DIRECTOR DE ESCUELA NORMAL DE ESPECIALIZACION, FORANEO"
E0629,DIRECTOR DE ESCUELA DE EDUCACION ESPECIAL
E0630,DIRECTOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA EN EL DIST
E0631,DIRECTOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA FORANEO.
E0632,SUPERVISOR DE EDUCACION ESPECIAL EN EL DISTRITO FEDERAL.
E0633,SUPERVISOR DE EDUCACION ESPECIAL FOR.EO.
E0634,"SUPERVISOR DE EDUCACION ESPECIAL DE TIEMPO COMPLETO, TITULADO"
E0635,"SUPERVISOR DE EDUCACION ESPECIAL DE TIEMPO COMPLETO, TITULADO"
E0636,SUPERVISOR DE EDUCACION ESPECIAL FORANEO.
E0660,"PROFESOR DE ADIESTRAMIENTO DE ENSEÑANZA SUPERIOR, EN EL DIST"
E0661,"PROFESOR DE ADIESTRAMIENTO DE ENSEÑANZA SUPERIOR, FORANEO"
E0662,"PROFESOR DE BIBLIOTECONOMIA, EN EL DISTRITO FEDERAL."
E0663,"PROFESOR DE ENSEÑANZA PREPARATORIA, FORANEO."
E0670,"PROFESOR ORIENTADOR PROFESIONAL DE ENSEÑANZA SUPERIOR, EN EL"
E0671,"PROFESOR ORIENTADOR PROFESIONAL DE ENSEÑANZA SUPERIOR, FOR."
E0672,"PROFESOR DE MATERIAS PROFESIONALES DE NORMAL SUPERIOR, EN EL"
E0674,"PROFESOR PARA CURSOS DE POSTGRADUADOS, EN EL DISTRITO FEDERA"
E0680,"MAESTRO DE ESCUELA DE EXPERIMENTACION PEDAGOGICA, EN EL DIST"
E0681,"MAESTRO DE ESCUELA DE EXPERIMENTACION PEDAGOGICA, FOR.EO."
E0683,MAESTRO PARA EDUCACION ESPECIAL DE TIEMPO COMPLETO MIXTO TIT
E0684,PROFESOR INVESTIGADOR DE LA PEDAGOGIA EN EL DISTRITO FEDERAL
E0686,PROFESOR POSTGRADUADO INVESTIGADOR DE LA PEDAGOGIA EN EL DIS
E0687,MAESTRO DE EDUCACION ESPECIAL
E0689,MAESTRO PSICOLOGO ORIENTADOR PARA EDUCACION ESPECIAL
E0690,MAESTRO PSICOLOGO ORIENTADOR PARA EDUCACION ESPECIAL DE 3/4
E0692,MAESTRO DE EDUCACION ESPECIAL DE 3/4 DE TIEMPO EN CURSO CON
E0700,"INSPECTOR NORMALISTA DE EDUCACION FISICA, EN EL DISTRITO F"
E0701,"INSPECTOR NORMALISTA DE EDUCACION FISICA,FOR.EA"
E0723,DIRECTOR FEDERAL DE EDUCACION FISICA
E0740,SUBDIRECTOR SECRETARIO DE ESCUELA NORMAL DE EDUCACION FISICA
E0760,PROFESOR DE EDUCACION FISICA EN EL D.F.
E0761,PROFESOR DE EDUCACION FISICA FORANEO
E0762,"PROFESOR NORMALISTA DE EDUCACION FISICA, EN EL DISTRITO FEDE"
E0763,"PROFESOR NORMALISTA DE EDUCACION FISICA, FORANEO"
E0764,PROFESOR Y LIC. EN EDUCACION FISICA EN EL DISTRITO FEDERAL.
E0765,PROFESOR Y LIC. EN EDUCACION FISICA FOR.EO
E0772,"PROFESOR DE ENSEÑANZAS PROFESIONALES DE EDUCACION FISICA, EN"
E0773,"PROFESOR DE ENSEÑANZAS PROFESIONALES DE EDUCACION FISICA, FORANEO"
E0792,HORAS DE EDUCACION FISICA PARA FORTALECIMIENTO CURRICULAR
E0800,INSPECTOR DE ENSEÑANZA NORMAL DE PRIMARIA EN EL DISTRITO FED
E0820,"DIRECTOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA, DE NORMAL"
E0822,"DIRECTOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA,DE NORMAL"
E0825,"DIRECTOR DE ESCUELA NORMAL DE PRIMARIA, FORANEA."
E0827,"DIRECTOR DE ESCUELA NORMAL DE PRIMARIA URBANA, FORANEA."
E0828,SUPERVISOR DE ENSEÑANZA NORMAL EN EL DISTRITO FEDERAL.
E0843,"SUBDIRECTOR SECRETARIO DE NORMAL DE PRIMARIA URBANA, FOR.EA"
E0860,"PROFESOR DE ADIESTRAMIENTO DE NORMAL DE PRIMARIA, EN EL DIST"
E0861,"PROFESOR DE ADIESTRAMIENTO DE NORMAL DE PRIMARIA, FORANEO"
E0862,PROFESOR DE MATERIAS DE SECUNDARIA EN ESCUELA NORMAL DE PRIM
E0863,PROFESOR DE MATERIAS DE SECUNDARIA EN ESCUELA NORMAL DE PRIM
E0870,"PROFESOR ORIENTADOR PROFESIONAL DE ENSEÑANZA NORMAL, EN EL D"
E0872,PROFESOR DE MATERIAS PROFESIONALES EN NORMAL DE ENSEÑANZA PR
E0873,PROFESOR DE MATERIAS PROFESIONALES DE ENSEÑANZA NORMAL DE PR
E0880,PROFESOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA DE ENSENAN
E0882,PROFESOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA DE NORMAL
E0885,PROFESOR A DE MATERIAS AGROPECUARIAS EN ESCUELA NORMAL DE PR
E0887,PROFESOR B DE MATERIAS AGROPECUARIAS EN ESCUELA NORMAL DE PR
E0889,PROFESOR C DE MATERIAS AGROPECUARIAS EN ESCUELA NORMAL DE PR
E0891,PROFESOR D DE MATERIAS AGROPECUARIAS EN ESCUELA NORMAL DE PR
E0892,PROFESOR DE ESCUELA DE EXPERIMENTACION PEDAGOGICA DE ENSENAN
